userId,movieId,rating,timestamp
309,1,4,2010-01-21 08:00:00+00:00
13009,1,3,2010-01-27 08:00:00+00:00
5534,1,4,2010-01-29 08:00:00+00:00
1716,1,4,2010-02-13 08:00:00+00:00
42071,1,4,2010-02-18 08:00:00+00:00
19509,1,5,2010-02-25 08:00:00+00:00
3485,1,2,2010-02-26 08:00:00+00:00
22983,1,5,2010-03-26 07:00:00+00:00
1964,1,4,2010-04-06 07:00:00+00:00
6862,1,4,2010-04-08 07:00:00+00:00
380,1,5,2010-04-24 07:00:00+00:00
10927,2,5,2010-04-30 07:00:00+00:00
17748,1,5,2010-05-04 07:00:00+00:00
27219,1,5,2010-05-05 07:00:00+00:00
36776,1,4,2010-05-28 07:00:00+00:00
3897,1,5,2010-06-01 07:00:00+00:00
3276,1,5,2010-06-11 07:00:00+00:00
3748,1,5,2010-06-11 07:00:00+00:00
33078,1,1,2010-06-14 07:00:00+00:00
43705,2,5,2010-06-17 07:00:00+00:00
4774,1,5,2010-06-17 07:00:00+00:00
38153,2,5,2010-06-18 07:00:00+00:00
6488,1,4,2010-06-19 07:00:00+00:00
4617,2,5,2010-06-19 07:00:00+00:00
27437,2,5,2010-06-21 07:00:00+00:00
42721,1,5,2010-06-21 07:00:00+00:00
6330,2,5,2010-06-22 07:00:00+00:00
13885,1,3,2010-06-22 07:00:00+00:00
4985,2,5,2010-06-22 07:00:00+00:00
2759,2,5,2010-06-23 07:00:00+00:00
1672,2,5,2010-06-23 07:00:00+00:00
36172,2,4,2010-06-23 07:00:00+00:00
2058,2,5,2010-06-25 07:00:00+00:00
6692,2,5,2010-06-26 07:00:00+00:00
2758,2,5,2010-06-28 07:00:00+00:00
857,1,5,2010-07-01 07:00:00+00:00
3415,2,5,2010-07-04 07:00:00+00:00
17682,1,5,2010-07-06 07:00:00+00:00
3520,1,5,2010-07-21 07:00:00+00:00
34382,1,3,2010-07-23 07:00:00+00:00
4006,1,5,2010-08-02 07:00:00+00:00
5891,1,2,2010-08-05 07:00:00+00:00
1250,1,4,2010-08-07 07:00:00+00:00
4397,1,5,2010-08-09 07:00:00+00:00
14337,1,3,2010-08-10 07:00:00+00:00
3089,1,5,2010-08-10 07:00:00+00:00
13672,1,4,2010-08-11 07:00:00+00:00
3702,1,5,2010-08-17 07:00:00+00:00
5022,1,5,2010-08-19 07:00:00+00:00
28705,1,1,2010-09-03 07:00:00+00:00
1176,3,4,2010-09-14 07:00:00+00:00
29765,3,4,2010-09-15 07:00:00+00:00
18869,3,4,2010-09-15 07:00:00+00:00
5129,3,5,2010-09-19 07:00:00+00:00
2465,3,5,2010-09-22 07:00:00+00:00
30062,1,2,2010-09-25 07:00:00+00:00
5924,2,5,2010-09-26 07:00:00+00:00
6316,1,4,2010-09-28 07:00:00+00:00
339,2,4,2010-10-01 07:00:00+00:00
4440,2,5,2010-10-01 07:00:00+00:00
5568,2,2,2010-10-02 07:00:00+00:00
5168,3,5,2010-10-03 07:00:00+00:00
29982,2,4,2010-10-04 07:00:00+00:00
34285,2,5,2010-10-05 07:00:00+00:00
124,2,5,2010-10-06 07:00:00+00:00
18102,3,5,2010-10-07 07:00:00+00:00
6509,2,5,2010-10-07 07:00:00+00:00
6546,1,4,2010-10-08 07:00:00+00:00
1296,2,5,2010-10-09 07:00:00+00:00
3197,3,5,2010-10-10 07:00:00+00:00
15933,2,3,2010-10-11 07:00:00+00:00
26176,3,3,2010-10-13 07:00:00+00:00
44624,3,4,2010-10-13 07:00:00+00:00
697,2,2,2010-10-15 07:00:00+00:00
40121,3,5,2010-10-16 07:00:00+00:00
30266,1,3,2010-10-18 07:00:00+00:00
852,1,4,2010-10-19 07:00:00+00:00
3578,2,5,2010-10-19 07:00:00+00:00
11828,2,4,2010-10-20 07:00:00+00:00
2481,3,2,2010-10-21 07:00:00+00:00
21905,2,5,2010-10-21 07:00:00+00:00
6476,2,4,2010-10-22 07:00:00+00:00
41159,2,3,2010-10-23 07:00:00+00:00
6185,2,1,2010-10-24 07:00:00+00:00
17852,3,4,2010-10-29 07:00:00+00:00
1479,2,5,2010-10-31 07:00:00+00:00
6720,2,4,2010-11-01 07:00:00+00:00
2085,3,4,2010-11-01 07:00:00+00:00
1958,3,5,2010-11-03 07:00:00+00:00
10523,1,5,2010-11-04 07:00:00+00:00
246,2,3,2010-11-05 07:00:00+00:00
17701,2,2,2010-11-05 07:00:00+00:00
9699,1,3,2010-11-05 07:00:00+00:00
8766,1,5,2010-11-05 07:00:00+00:00
5202,3,5,2010-11-06 07:00:00+00:00
384,1,4,2010-11-06 07:00:00+00:00
10111,1,3,2010-11-06 07:00:00+00:00
26577,1,4,2010-11-06 07:00:00+00:00
42721,2,3,2010-11-06 07:00:00+00:00
543,2,5,2010-11-06 07:00:00+00:00
38400,2,5,2010-11-07 07:00:00+00:00
24074,2,4,2010-11-07 07:00:00+00:00
928,2,5,2010-11-07 07:00:00+00:00
16680,2,4,2010-11-08 08:00:00+00:00
11389,2,4,2010-11-08 08:00:00+00:00
8073,2,4,2010-11-09 08:00:00+00:00
320,2,4,2010-11-10 08:00:00+00:00
42071,3,3,2010-11-10 08:00:00+00:00
4770,3,2,2010-11-10 08:00:00+00:00
4171,2,2,2010-11-10 08:00:00+00:00
6455,2,5,2010-11-10 08:00:00+00:00
1222,3,5,2010-11-11 08:00:00+00:00
23821,2,5,2010-11-11 08:00:00+00:00
5456,2,5,2010-11-11 08:00:00+00:00
620,3,4,2010-11-12 08:00:00+00:00
218,3,3,2010-11-13 08:00:00+00:00
40670,1,5,2010-11-14 08:00:00+00:00
10166,1,5,2010-11-15 08:00:00+00:00
6128,2,2,2010-11-16 08:00:00+00:00
4770,1,3,2010-11-16 08:00:00+00:00
2951,1,5,2010-11-16 08:00:00+00:00
